Customer Behavior,Market Trends,Seasonal Fluctuations,Product Availability,Customer Demographics,Website Traffic,Engagement Rate,Discount Rate,Advertising Spend,Social Media Engagement,Returning Customers Rate,New Customers Count,Product Categories,Average Order Value,Shipping Speed,Customer Satisfaction Score,Economic Indicator,Sales Forecast
45.98308858076464,0.8,High,57,60+,206,0.05292739275740414,0.4241628733722292,970.8896807568424,200,0.7062740100629489,20,Electronics,59.70436010084518,3.4493557657008385,3,1.0,481
47.04757130787035,0.8,Medium,59,46-60,201,0.05007819243099366,0.12466290983742218,479.93150935986125,318,0.7193430310269605,77,Electronics,51.611526736433426,3.4656601843879673,4,1.1,457
46.828187730864705,0.8,High,84,60+,192,0.07773439629708725,0.491064152978924,772.7358500167122,181,0.655994369510379,97,Electronics,77.35869714424547,3.4202367610445563,5,0.9,466
49.791829660752306,1.0,Low,94,60+,194,0.07584341406484349,0.19318480219150108,1014.3831261866058,914,0.7347198041624579,13,Fashion,50.87148680078025,3.8896608306584466,4,1.1,459
32.14063453923106,0.8,Medium,74,36-45,234,0.08343595116415668,0.2510299012262058,460.3568410259387,873,0.33359000455218324,25,Home,37.141211682639224,2.8170752809158466,5,0.9,214
44.68204576729967,1.0,Medium,33,60+,203,0.05929477721722466,0.3050520875069497,1236.8227145967915,220,0.4393268118214141,18,Home,122.25115987396092,4.152850108696369,5,1.1,281
46.6661527380152,1.0,Low,51,18-25,185,0.0726104397051268,0.3486969465708498,1502.784030759004,201,0.3916773489195591,21,Beauty,166.78433820415245,2.415330662309935,3,0.9,175
41.47972524507242,0.8,Low,22,36-45,204,0.04438346770512037,0.11204027739513256,1254.8576699293808,460,0.3652403262745255,1,Sports,149.63262517758446,3.347597024116477,5,1.0,249
50.002046166689716,1.0,High,61,26-35,187,0.04631917523502496,0.10823203211878984,1202.469568887062,865,0.10173388487629627,24,Home,161.8510852521412,2.0810234902943665,3,1.1,136
54.744009949979024,1.0,High,40,46-60,213,0.09360577533058018,0.32370776899008824,1353.9831863453444,624,0.35626273680386444,60,Home,65.00022071106558,3.319980476356344,1,1.0,454
53.608559369150534,1.0,Medium,97,26-35,203,0.08695416631674938,0.4044683109692754,1469.0232232560406,875,0.42282084007705234,28,Sports,128.35421199128177,2.849571587781091,3,1.0,90
47.75695291772836,0.8,Medium,45,46-60,193,0.017546661019756767,0.12445635036753833,1215.3997848571514,382,0.4525554434598532,43,Electronics,174.74568818549324,2.7377671278803635,3,1.1,316
52.40115318223186,1.0,Low,14,18-25,213,0.05418063442899115,0.3929296335813564,637.4322147229127,320,0.6482838886661189,67,Beauty,38.411096526204105,2.1619972935482834,4,0.9,274
49.40733458575352,1.0,Low,55,26-35,197,0.07545992794112379,0.43951847169827984,828.6483799398424,445,0.6698949617272755,50,Fashion,66.32269966995045,2.7227642886079937,2,1.0,216
45.72983964345475,1.0,Low,83,26-35,199,0.01351303763318704,0.2166331601398101,722.8897088643745,730,0.7950699773348645,9,Sports,107.90400866988833,2.259803443293077,5,1.1,181
52.807869828940895,0.8,Medium,42,60+,213,0.06924753237601254,0.40113136253911874,754.4143846821025,240,0.1752078743502896,77,Fashion,177.35229379422418,1.2006060099871187,1,0.9,135
51.36453510919507,1.0,Medium,95,36-45,202,0.0761868908583833,0.2782300099981144,759.7442639255582,958,0.6125462555398562,54,Home,50.25913725782624,3.180787453670552,3,1.0,181
52.5939514478645,1.0,Medium,28,18-25,200,0.012218743837712237,0.14306466292444303,1220.6008184360808,270,0.7905208362210819,94,Electronics,189.6961477046372,4.5058548058703085,3,1.0,366
37.6569952028144,1.2,Medium,18,36-45,180,0.03603558195599391,0.12425476566754357,756.8229409763495,489,0.3812729670025454,49,Fashion,116.38820887913658,2.932066060099859,5,0.9,138
70.81050736210196,0.8,High,32,26-35,211,0.07741364103528979,0.44170206555624525,944.654637285692,938,0.22147379844057347,97,Sports,64.21318433188554,0.5555133948818183,4,0.9,348
50.42963286855753,0.8,Low,87,18-25,219,0.012954440836908745,0.47355382025044335,898.9981508850336,868,0.7350463664130897,58,Fashion,123.79380696185106,2.4481765520708505,2,1.1,133
68.94932108056973,1.0,Medium,65,46-60,196,0.07973789868005236,0.0509940439226102,918.2079052856934,368,0.4306579414108773,15,Electronics,31.050731072226824,1.701694572238156,3,1.1,209
50.034490176711856,0.8,High,47,36-45,180,0.01662952281150834,0.031651556276174,1884.8545122517926,869,0.4197154673271206,93,Electronics,178.14814406019275,2.8302473120560494,3,0.9,109
60.91460904300473,1.0,Medium,28,18-25,197,0.016871734060176894,0.21704731726182935,946.8179470335809,655,0.2484983423558814,92,Home,107.6670903925599,4.087009647651104,4,1.1,103
37.18435798575007,1.2,Medium,37,46-60,206,0.06943906823699687,0.3029668536026084,865.5010636718699,272,0.5259749192572736,32,Home,38.2972485685989,3.6589428290610324,3,1.1,380
49.65406813274176,0.8,High,80,36-45,226,0.08885148131625212,0.4449227383975516,894.8036020115154,412,0.5021154557502385,69,Home,121.98516276131227,3.2034375099356045,3,1.0,197
53.41433058133855,1.0,High,48,60+,221,0.08391837423439881,0.3369786666939428,1097.098648784064,986,0.5124776224201709,54,Home,27.18412840464228,2.747569130854964,3,1.0,250
25.626783112562293,0.8,High,34,26-35,175,0.05566707353634091,0.4691211070885114,1379.7415190168483,244,0.6416317722770312,46,Beauty,69.84018985787768,2.673664791128372,4,1.0,337
46.22524303786971,1.2,High,41,36-45,200,0.011961646281751882,0.44533132385914626,1120.7362696874454,674,0.7387741210237644,91,Beauty,126.28714886660669,3.5610408146978783,2,0.9,331
44.6373901047179,0.8,Low,30,46-60,195,0.05701347220470797,0.015710690115813053,1117.1419653122086,675,0.35582854868752556,52,Electronics,104.73375258593254,3.15275159660226,1,0.9,454
32.857126305126116,1.2,High,24,46-60,201,0.09900918053465813,0.16892339792548344,1292.5285275407082,134,0.41877752048689176,43,Electronics,121.52361224794655,2.556411335089844,3,1.1,263
57.60644173965907,1.2,High,98,36-45,196,0.09266626934216074,0.13832460726317497,651.7970708852363,831,0.676179707012773,29,Home,106.3728607755891,2.8988197886325455,4,0.9,406
40.71525436542665,0.8,Medium,81,46-60,189,0.08619992996911537,0.2501866972870806,628.8983719929647,442,0.5007572575126771,33,Sports,134.25986849918812,2.634332045652819,4,0.9,411
47.89519232393157,1.2,Low,26,26-35,181,0.08490080177964764,0.41156466262943714,1043.4988620316283,711,0.11562262673143031,28,Home,73.4541570382566,0.6167336535608627,2,1.0,208
35.11910388440155,1.2,Low,95,36-45,218,0.06523656122722922,0.33463964852717504,653.1873441849255,309,0.7494005558243257,15,Sports,108.03689210069558,3.166035013621877,1,0.9,378
54.43835540496016,1.2,Medium,76,18-25,195,0.016071462273710087,0.013097660086089924,534.8074247384849,794,0.5224738514791107,18,Home,164.1766194393683,2.4349934904157844,3,1.1,282
55.39353729655424,0.8,Medium,32,60+,224,0.03331306727462528,0.20836572202461046,774.0039657386842,214,0.13599516927261673,73,Beauty,117.50197837584432,2.5888064451718056,4,0.9,226
60.53367990284755,0.8,Low,93,26-35,211,0.05989888484289849,0.47377391187747603,442.8198809926697,908,0.523272494674493,29,Sports,114.01319049026075,4.9183522528871055,4,0.9,55
54.559816725406876,1.2,High,87,46-60,197,0.09053126474375675,0.0608611178717528,749.5797603893016,500,0.42900407497180215,11,Sports,98.17404176964878,2.384554144755934,4,1.0,262
